,Unnamed: 0,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,country
8528,8528,Ford,Edge,19100.0,2020,1,248.0,0,petrol,2.0,0,0,0,0,0,0,United States
8529,8529,Mercedes-Benz,GL CLAss,145000.0,2013,2,435.0,1,petrol,4.7,0,0,0,0,0,0,Germany
8530,8530,Mazda,6,13300.0,2010,2,147.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8531,8531,Kia,Forte,17000.0,2012,2,126.0,0,petrol,1.6,0,0,0,0,0,0,South Korea
8532,8532,Kia,Sorento,100000.0,2019,2,188.0,0,petrol,2.4,0,0,0,0,0,0,South Korea
8533,8533,Toyota,Corolla,70330.0,2018,2,132.0,0,petrol,1.6,0,0,0,0,0,0,Japan
8534,8534,Mitsubishi,Pajero,25000.0,2003,5,165.0,1,diesel,3.2,0,0,0,0,0,0,Japan
8535,8535,Peugeot,108,23000.0,2016,3,82.0,0,petrol,1.2,0,0,0,0,0,0,France
8536,8536,BMW,1 Series,25000.0,2009,3,136.0,0,petrol,2.0,0,0,0,0,0,0,Germany
8537,8537,Fiat,Ducato,55000.0,2014,3,130.0,0,diesel,2.3,0,0,0,0,0,0,Italy
8538,8538,Audi,Q5,47000.0,2013,5,225.0,1,petrol,2.0,0,0,0,0,0,0,Germany
8539,8539,Chevrolet,Traverse,26900.0,2009,4,281.0,1,electric,3.6,0,0,0,0,0,0,United States
8540,8540,Mitsubishi,Triton / L200 2X4,11000.0,2016,1,154.0,0,diesel,2.4,0,0,0,0,0,0,Japan
8541,8541,Volvo,XC60,205000.0,2020,2,390.0,1,hybrid,2.0,0,0,0,0,0,0,Sweden
8542,8542,Mazda,3,89800.0,2020,1,165.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8543,8543,Citroen,C5,113900.0,2021,2,180.0,0,petrol,1.6,0,0,0,0,0,0,France
8544,8544,Suzuki,Belno,38900.0,2018,2,90.0,0,petrol,1.2,0,0,0,0,0,0,Japan
8545,8545,Chevrolet,Impala,87900.0,2017,2,305.0,0,electric,3.6,0,0,0,0,0,0,United States
8546,8546,Daihatsu,Sirion,9000.0,2010,2,87.0,0,petrol,1.3,0,0,0,0,0,0,Japan
